2026-01-26 06:59:31 | DEBUG    | yfinance             | cookie_mode = 'basic'
2026-01-26 06:59:31 | DEBUG    | yfinance             |      Entering _get_cookie_and_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Entering _get_cookie_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             | reusing cookie
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Exiting _get_cookie_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Entering _get_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             | reusing crumb
2026-01-26 06:59:31 | DEBUG    | yfinance             |       Exiting _get_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |      Exiting _get_cookie_and_crumb_basic()
2026-01-26 06:59:31 | DEBUG    | yfinance             |     Exiting _get_cookie_and_crumb()
2026-01-26 06:59:31 | DEBUG    | yfinance             | response code=200
2026-01-26 06:59:31 | DEBUG    | yfinance             |    Exiting _make_request()
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Exiting get()
2026-01-26 06:59:31 | DEBUG    | yfinance             |   Entering history()
2026-01-26 06:59:31 | ERROR    | yfinance             | 
1 Failed download:
2026-01-26 06:59:31 | ERROR    | yfinance             | ['6088027.SZ']: YFTzMissingError('possibly delisted; no timezone found')
2026-01-26 06:59:31 | DEBUG    | yfinance             | ['6088027.SZ']: Traceback (most recent call last):
  File "/home/user/pgeminionly/.venv/lib/python3.13/site-packages/yfinance/multi.py", line 281, in _download_one
    data = Ticker(ticker).history(
            period=period, interval=interval,
    ...<4 lines>...
            raise_errors=True
    )
  File "/home/user/pgeminionly/.venv/lib/python3.13/site-packages/yfinance/utils.py", line 92, in wrapper
    result = func(*args, **kwargs)
  File "/home/user/pgeminionly/.venv/lib/python3.13/site-packages/yfinance/base.py", line 132, in history
    return self._lazy_load_price_history().history(*args, **kwargs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/home/user/pgeminionly/.venv/lib/python3.13/site-packages/yfinance/utils.py", line 92, in wrapper
    result = func(*args, **kwargs)
  File "/home/user/pgeminionly/.venv/lib/python3.13/site-packages/yfinance/scrapers/history.py", line 128, in history
    raise _exception
yfinance.exceptions.YFTzMissingError: possibly delisted; no timezone found

2026-01-26 06:59:31 | DEBUG    | yfinance             | Exiting download()
